iter	Passed	Remaining
0	432	432523
1	436	217751
2	469	156025
3	472	117550
4	474	94485
5	477	79064
6	495	70223
7	548	68011
8	555	61198
9	560	55440
10	564	50732
11	566	46676
12	570	43347
13	599	42203
14	603	39651
15	609	37472
16	614	35558
17	617	33701
18	624	32227
19	629	30836
20	631	29461
21	634	28206
22	658	27973
23	662	26954
24	665	25953
25	668	25057
26	675	24334
27	679	23582
28	681	22827
29	684	22128
30	696	21759
31	727	22014
32	731	21433
33	734	20859
34	740	20406
35	744	19923
36	749	19497
37	756	19159
38	759	18713
39	762	18289
40	779	18236
41	782	17846
42	785	17477
43	791	17191
44	796	16904
45	800	16606
46	805	16327
47	811	16088
48	815	15828
49	828	15734
50	830	15456
51	833	15197
52	845	15109
53	850	14891
54	852	14651
55	855	14417
56	861	14249
57	931	15133
58	938	14970
59	943	14783
60	955	14710
61	959	14508
62	961	14299
63	964	14103
64	973	14004
65	976	13819
66	979	13642
67	1037	14219
68	1042	14072
69	1054	14007
70	1057	13831
71	1060	13665
72	1062	13494
73	1065	13327
74	1072	13222
75	1075	13069
76	1077	12915
77	1080	12766
78	1108	12927
79	1111	12781
80	1113	12638
81	1215	13603
82	1217	13446
83	1220	13308
84	1268	13657
85	1271	13515
86	1275	13383
87	1278	13245
88	1286	13173
89	1317	13316
90	1320	13190
91	1334	13171
92	1435	13997
93	1443	13913
94	1446	13784
95	1449	13651
96	1452	13519
97	1454	13389
98	1465	13336
99	1478	13303
100	1480	13179
101	1483	13057
102	1544	13449
103	1552	13372
104	1555	13259
105	1558	13141
106	1562	13039
107	1567	12948
108	1630	13327
109	1638	13254
110	1644	13167
111	1646	13054
112	1649	12944
113	1652	12845
114	1657	12752
115	1662	12673
116	1677	12659
117	1680	12558
118	1682	12457
119	1687	12374
120	1692	12296
121	1706	12282
122	1709	12190
123	1712	12095
124	1714	12001
125	1722	11947
126	1741	11972
127	1756	11964
128	1759	11879
129	1762	11794
130	1765	11712
131	1784	11732
132	1796	11712
133	1801	11643
134	1808	11590
135	1811	11507
136	1813	11426
137	1816	11345
138	1818	11266
139	1826	11218
140	1828	11140
141	1829	11056
142	1835	11001
143	1841	10945
144	1860	10973
145	1863	10899
146	1865	10826
147	1868	10754
148	1870	10684
149	1877	10640
150	1880	10573
151	1882	10504
152	1885	10437
153	1888	10372
154	1894	10328
155	1899	10277
156	1913	10271
157	1915	10209
158	1918	10147
159	1926	10115
160	1928	10048
161	1930	9988
162	1952	10028
163	1986	10126
164	1990	10072
165	1993	10014
166	2000	9978
167	2010	9957
168	2013	9899
169	2016	9842
170	2018	9785
171	2020	9728
172	2028	9694
173	2030	9638
174	2035	9593
175	2037	9539
176	2047	9520
177	2054	9488
178	2061	9455
179	2064	9403
180	2066	9350
181	2069	9299
182	2071	9249
183	2107	9346
184	2110	9295
185	2114	9253
186	2116	9203
187	2119	9153
188	2121	9104
189	2124	9056
190	2130	9021
191	2134	8983
192	2140	8950
193	2147	8923
194	2150	8877
195	2156	8847
196	2164	8822
197	2166	8777
198	2169	8732
199	2172	8690
200	2178	8657
201	2181	8619
202	2187	8590
203	2191	8549
204	2218	8602
205	2221	8560
206	2223	8518
207	2225	8475
208	2232	8450
209	2239	8422
210	2251	8418
211	2254	8378
212	2256	8338
213	2259	8299
214	2265	8272
215	2276	8261
216	2305	8317
217	2307	8278
218	2310	8238
219	2316	8214
220	2319	8175
221	2322	8137
222	2324	8100
223	2327	8062
224	2337	8049
225	2342	8022
226	2354	8017
227	2359	7989
228	2367	7972
229	2372	7943
230	2375	7907
231	2388	7907
232	2394	7881
233	2419	7921
234	2422	7885
235	2424	7849
236	2427	7813
237	2429	7778
238	2454	7816
239	2457	7781
240	2459	7746
241	2465	7721
242	2470	7695
243	2475	7670
244	2485	7659
245	2509	7692
246	2517	7673
247	2519	7640
248	2522	7607
249	2524	7574
250	2528	7545
251	2536	7529
252	2541	7504
253	2545	7476
254	2549	7447
255	2551	7416
256	2554	7384
257	2556	7353
258	2575	7367
259	2584	7356
260	2590	7335
261	2599	7322
262	2602	7292
263	2604	7261
264	2607	7230
265	2613	7212
266	2630	7222
267	2635	7198
268	2641	7178
269	2647	7157
270	2650	7131
271	2653	7101
272	2655	7072
273	2658	7042
274	2679	7064
275	2683	7038
276	2687	7015
277	2692	6992
278	2700	6978
279	2702	6950
280	2705	6922
281	2707	6894
282	2710	6866
283	2717	6850
284	2720	6824
285	2722	6797
286	2725	6770
287	2731	6753
288	2736	6733
289	2742	6715
290	2746	6692
291	2749	6666
292	2752	6640
293	2761	6630
294	2763	6604
295	2766	6579
296	2768	6553
297	2771	6528
298	2776	6509
299	2790	6510
300	2792	6485
301	2795	6460
302	2797	6435
303	2799	6410
304	2829	6447
305	2843	6447
306	2845	6423
307	2847	6398
308	2850	6374
309	2856	6357
310	2860	6337
311	2863	6313
312	2865	6289
313	2868	6265
314	2878	6259
315	2884	6242
316	2895	6238
317	2897	6214
318	2900	6191
319	2902	6168
320	2909	6153
321	2911	6130
322	2914	6107
323	2916	6085
324	2918	6062
325	2946	6091
326	2949	6069
327	2951	6047
328	2957	6031
329	2961	6012
330	2963	5990
331	2966	5968
332	2968	5946
333	2971	5924
334	2977	5911
335	2982	5894
336	2992	5886
337	2998	5873
338	3007	5864
339	3009	5842
340	3012	5821
341	3014	5800
342	3022	5789
343	3030	5778
344	3040	5772
345	3043	5751
346	3045	5731
347	3047	5710
348	3054	5697
349	3066	5695
350	3072	5681
351	3077	5666
352	3085	5655
353	3090	5640
354	3097	5626
355	3099	5607
356	3101	5587
357	3104	5567
358	3106	5547
359	3140	5583
360	3150	5576
361	3153	5557
362	3155	5537
363	3158	5518
364	3160	5499
365	3164	5481
366	3171	5469
367	3178	5458
368	3181	5439
369	3183	5420
370	3185	5401
371	3188	5383
372	3199	5378
373	3211	5375
374	3216	5360
375	3220	5344
376	3222	5325
377	3225	5307
378	3228	5289
379	3230	5271
380	3234	5254
381	3240	5243
382	3243	5225
383	3245	5206
384	3248	5188
385	3250	5171
386	3257	5159
387	3261	5144
388	3266	5130
389	3272	5118
390	3275	5101
391	3277	5083
392	3280	5066
393	3282	5048
394	3288	5036
395	3291	5020
396	3295	5006
397	3299	4990
398	3305	4978
399	3309	4963
400	3314	4950
401	3316	4933
402	3322	4922
403	3325	4905
404	3328	4889
405	3330	4872
406	3332	4855
407	3342	4850
408	3345	4833
409	3347	4817
410	3355	4808
411	3360	4796
412	3365	4783
413	3372	4773
414	3374	4756
415	3376	4740
416	3379	4724
417	3382	4708
418	3389	4699
419	3391	4684
420	3394	4668
421	3397	4653
422	3399	4637
423	3403	4623
424	3407	4610
425	3411	4597
426	3418	4587
427	3420	4571
428	3423	4556
429	3425	4541
430	3428	4525
431	3435	4516
432	3438	4502
433	3440	4487
434	3443	4472
435	3445	4457
436	3452	4448
437	3458	4437
438	3462	4424
439	3465	4410
440	3467	4395
441	3470	4380
442	3472	4366
443	3479	4356
444	3481	4342
445	3484	4328
446	3486	4313
447	3489	4299
448	3495	4288
449	3498	4276
450	3505	4267
451	3512	4258
452	3515	4244
453	3517	4230
454	3520	4217
455	3523	4203
456	3530	4194
457	3533	4181
458	3535	4167
459	3538	4153
460	3543	4143
461	3547	4131
462	3554	4122
463	3557	4109
464	3561	4097
465	3564	4084
466	3568	4072
467	3570	4058
468	3575	4048
469	3578	4035
470	3581	4022
471	3583	4008
472	3586	3995
473	3588	3982
474	3595	3973
475	3601	3964
476	3604	3952
477	3608	3940
478	3613	3930
479	3616	3917
480	3623	3909
481	3625	3896
482	3628	3883
483	3630	3870
